gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2505,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1466,0
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157,1
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1400,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925,1
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104,1
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1550,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2609,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646,1
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3022,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4823,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2836,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4693,0
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265,1
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2337,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5959,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,46,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5704,0
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1433,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340,1
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1651,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,1
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3041,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2567,0
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,959,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5135,0
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184,1
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5354,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1360,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1449,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3815,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5644,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,1
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3073,0
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,1
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4024,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4118,0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572,0
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4105,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3348,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6481,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,1
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3599,0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3285,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,1
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1275,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,1
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3782,0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,1
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104,0
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5555,0
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6314,0
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5937,0
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3985,0
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4530,0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2558,0
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,1
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086,0
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3157,0
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143,0
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6399,0
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290,0
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4137,0
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,181,0
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5563,0
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,785,0
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295,0
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009,0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339,0
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071,0
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1742,0
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,397,0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,1
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4676,0
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,1
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682,0
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6491,0
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364,0
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1852,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,108,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6382,0
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,19,0
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229,0
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5723,0
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84,4717,0
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5575,0
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5751,0
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,1
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4018,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,1
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21,203,0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1610,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1483,0
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95,3122,0
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630,0
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110,5833,1
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5672,0
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6385,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,658,0
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,1
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642,0
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3380,0
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,1
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2967,0
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2128,0
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240,0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,1
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6160,0
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1769,0
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4581,0
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,1
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3039,0
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043,0
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2632,0
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,1
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1228,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489,0
