Education,Default,HHInsurance,CarLoan,PrevAttempts,AgeBin,BalanceBin,CallLengthBin,CallStartHour,LastContactMon,Job,Marital,Communication,Outcome,CarInsurance
3,0,1,0,0,1,1,1,13,1,5,2,2,0,0
1,0,1,0,0,1,1,1,14,5,2,1,0,0,0
3,0,1,0,1,1,1,1,16,6,5,2,1,1,1
1,0,1,0,0,1,1,2,12,5,9,2,1,0,1
3,0,0,0,0,1,1,1,14,6,5,1,1,0,0
3,0,0,0,1,1,1,2,14,5,10,2,1,1,1
3,0,1,0,0,2,1,1,13,3,1,2,1,0,1
3,0,1,0,0,2,1,1,15,5,5,0,0,0,0
2,0,1,0,0,1,1,1,12,11,1,1,1,0,0
2,0,1,1,0,1,1,1,9,5,2,1,1,0,0
2,0,0,0,0,1,1,1,13,6,8,2,1,0,0
1,1,0,0,0,3,1,1,16,1,2,1,1,0,1
2,0,1,0,0,2,1,2,16,1,10,1,1,0,1
2,0,1,0,0,2,1,1,10,6,7,0,0,0,0
2,0,0,0,3,1,1,1,14,7,8,2,1,2,1
3,0,0,0,1,3,1,1,16,8,5,2,1,1,1
2,0,1,0,1,2,1,1,11,5,1,2,2,2,0
3,0,0,0,1,2,1,1,11,9,5,1,1,2,1
2,0,1,0,1,3,1,1,12,5,2,1,1,1,1
1,0,0,0,0,3,1,1,10,4,2,1,2,0,1
2,0,1,1,0,3,1,1,9,6,2,1,0,0,0
2,0,0,0,3,5,1,1,17,9,6,1,2,3,1
3,0,0,0,0,1,1,1,14,8,5,2,1,0,0
2,0,0,0,1,3,1,1,15,7,6,1,1,3,1
2,0,1,0,2,3,1,1,16,2,10,1,1,2,1
3,0,0,0,0,1,1,1,17,7,5,1,1,0,0
1,0,0,1,0,3,1,1,10,11,5,1,1,0,0
0,0,0,0,0,2,1,1,12,4,0,0,1,0,1
2,0,1,0,0,2,1,1,13,6,8,1,0,0,0
1,0,0,0,0,2,1,1,10,6,2,1,0,0,0
2,0,0,0,1,3,1,2,11,4,10,1,2,3,1
2,0,1,0,1,1,1,1,10,6,1,2,1,1,0
3,0,0,0,0,3,1,1,10,8,6,2,1,0,1
3,0,0,0,0,2,1,1,15,2,5,0,1,0,0
2,0,1,0,0,2,1,1,13,5,2,2,0,0,0
2,0,1,0,0,2,1,1,14,5,2,1,1,0,0
2,0,1,1,0,1,1,2,11,5,2,1,0,0,0
2,0,1,0,0,1,1,1,15,7,1,1,1,0,0
1,0,1,0,0,2,1,1,13,7,2,0,1,0,1
2,0,1,1,0,2,1,1,15,11,1,1,1,0,0
2,0,1,0,0,1,1,1,17,5,5,1,0,0,0
2,0,1,0,0,2,1,1,11,5,2,1,0,0,0
3,0,0,0,0,2,1,2,9,2,5,2,1,0,1
2,0,1,0,1,2,1,1,10,5,1,1,1,1,1
3,0,0,0,0,3,1,1,11,8,5,1,1,0,0
2,0,1,0,0,2,1,1,16,6,2,2,0,0,0
2,0,1,0,0,2,1,2,12,7,5,0,1,0,1
1,0,0,0,0,4,1,2,16,10,6,0,1,0,1
2,0,0,0,0,2,1,1,17,6,1,2,0,0,0
2,0,0,0,0,1,1,1,9,2,10,0,1,0,0
2,0,1,0,0,3,1,1,16,4,8,0,1,0,0
1,0,0,0,0,2,1,1,10,6,4,1,0,0,0
2,0,1,1,0,2,1,1,13,11,7,1,1,0,1
2,0,0,0,0,4,1,1,16,5,6,1,2,0,1
2,0,0,1,0,1,1,1,9,1,2,1,1,0,0
2,0,0,0,0,2,1,3,16,2,8,1,2,0,1
2,0,1,0,5,1,1,1,14,11,1,1,1,1,0
2,0,0,1,1,2,1,1,17,10,3,0,1,1,0
3,0,1,0,0,2,1,1,13,5,5,2,1,0,1
2,0,0,0,0,3,1,1,12,5,11,1,1,0,0
3,0,0,0,0,2,1,1,15,8,5,0,1,0,0
2,0,0,0,0,2,1,2,16,11,3,1,1,0,1
1,0,0,0,0,1,1,1,13,8,9,2,1,0,1
2,0,0,0,0,3,1,1,16,5,8,1,0,0,0
2,0,1,0,0,2,1,2,9,5,8,2,1,0,1
3,0,0,0,0,3,1,1,14,6,5,1,1,0,1
2,0,0,0,0,1,1,1,12,1,2,2,1,0,0
3,0,1,0,0,1,1,1,10,4,5,1,1,0,0
2,0,1,0,0,2,1,1,17,4,2,1,1,0,1
3,0,1,0,0,3,1,1,17,6,5,1,0,0,0
3,0,1,0,0,1,1,3,9,5,4,1,1,0,1
2,0,1,0,0,1,1,1,14,5,1,1,0,0,0
2,0,0,0,1,1,1,1,14,9,10,2,1,2,0
2,0,1,0,0,2,1,1,13,5,2,1,0,0,0
3,0,0,0,0,2,1,1,17,8,10,0,1,0,0
2,0,0,0,1,3,1,1,13,2,10,0,1,1,1
3,0,1,0,1,1,1,1,11,6,10,1,1,2,0
3,0,1,0,0,2,1,1,13,5,5,1,0,0,0
3,0,1,0,1,2,1,1,15,5,5,2,1,1,0
2,0,1,0,0,2,1,1,15,5,10,2,0,0,0
2,0,1,0,0,3,1,2,11,5,1,2,0,0,1
3,0,0,0,0,2,1,1,9,8,10,1,1,0,0
2,0,1,1,0,2,1,1,14,5,2,1,1,0,1
1,0,0,0,0,3,2,1,10,6,6,2,0,0,0
1,0,0,0,0,3,1,3,9,1,11,1,1,0,1
2,0,0,0,0,2,1,1,17,7,1,0,1,0,0
2,1,1,1,0,2,1,1,11,5,2,1,0,0,0
2,0,1,0,0,1,1,2,11,5,8,1,1,0,1
2,0,1,0,2,2,1,1,16,5,1,2,1,2,0
2,0,0,0,0,2,1,2,10,7,3,2,1,0,1
3,0,1,1,0,3,1,2,17,5,5,1,0,0,1
2,0,1,0,0,1,1,1,16,5,2,2,0,0,0
1,0,1,0,0,2,1,1,12,5,2,0,0,0,0
2,0,1,0,0,2,1,1,14,11,8,0,2,0,0
2,0,1,0,0,2,1,1,14,5,2,1,0,0,0
3,0,0,0,0,2,1,1,9,7,5,1,1,0,0
3,0,0,1,0,2,1,1,16,1,5,0,1,0,0
3,0,0,0,0,2,1,1,14,6,2,2,1,0,1
1,0,0,0,0,2,1,1,12,7,2,1,2,0,0
1,0,0,0,1,1,1,1,12,1,9,2,1,1,0
3,0,0,0,0,2,1,1,14,4,5,1,1,0,0
2,0,1,0,0,2,1,3,11,5,10,1,0,0,1
2,0,0,0,1,2,1,2,15,7,10,1,1,2,1
