age,education,income,hour_per_week,zip_code,married,race,sex,approved
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,very low,few,1,no,black,male,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,1,no,white,male,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,few,2,no,white,female,no
15-25,some HS,very low,few,2,no,white,male,no
15-25,some HS,low,few,1,no,black,male,no
15-25,some HS,very low,few,3,no,black,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,white,female,no
15-25,some HS,low,few,3,no,white,male,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,very low,few,2,no,black,female,no
15-25,some HS,very low,few,2,no,black,female,no
15-25,some HS,very low,few,1,no,white,female,no
15-25,some HS,very low,few,3,no,white,male,no
15-25,some HS,very low,few,3,no,white,female,no
15-25,some HS,low,few,1,no,white,female,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,female,no
15-25,HS grad,very low,part-time,3,no,white,female,no
15-25,some HS,low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,low,part-time,2,no,white,male,no
15-25,some HS,very low,part-time,3,no,white,male,no
15-25,some HS,low,part-time,1,no,white,male,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,low,part-time,2,no,white,female,no
15-25,some HS,very low,full-time,1,no,white,female,no
15-25,some HS,low,full-time,2,no,white,female,no
